community,unit_price,hourseSize,fitment,总价
京基御景华城,75000.0,38.0,精装,285.0
廊桥国际,83116.0,84.22,精装,700.0
皇御苑二期,73171.0,63.96,简装,468.0
南方国际广场,60466.0,86.0,简装,520.01
金色假日,79655.0,43.94,简装,350.0
TT国际公寓,92208.0,55.31,简装,510.0
岭尚时代园,91526.0,59.0,其他,540.0
海连大厦,69570.0,77.62,简装,540.0
金地海景花园,61181.0,32.69,简装,200.0
绿洲丰和,101754.0,63.88,精装,650.0
金色假日,84222.0,59.13,精装,498.0
现代之窗,125132.0,47.55,简装,595.0
凯丰花园二期,78477.0,68.81,其他,540.0
缔馨园,98019.0,48.46,精装,475.0
京基御景华城,78652.0,39.16,精装,308.0
皇庭世纪,86072.0,57.51,精装,495.0
京基御景华城,72016.0,41.38,精装,298.0
旭飞花园,87598.0,43.38,简装,380.0
京基御景华城,70662.0,70.76,简装,500.0
益田村,81397.0,71.87,精装,585.0
华富大厦,69153.0,59.0,精装,408.0
半山御景,83268.0,75.66,简装,630.01
京基御景华城,60000.0,35.0,简装,210.0
皇洲花园,56862.0,79.14,简装,450.01
新亚洲国利大厦,63939.0,54.74,简装,350.0
特发小区,113844.0,87.84,简装,1000.01
鹏盛村,74189.0,38.82,简装,288.0
万科金域蓝湾一期,90140.0,73.22,精装,660.01
御锦公馆,75419.0,42.43,精装,320.0
星河世纪,88176.0,44.23,精装,390.0
佳兆业中心,40350.0,75.59,其他,305.01
万科金域蓝湾二期,114753.0,108.93,精装,1250.0
绿景虹湾,94054.0,85.59,精装,805.01
缔梦园,74988.0,41.34,精装,310.0
绿景虹湾,88744.0,64.23,精装,570.0
星河世纪,98570.0,62.9,精装,620.01
绿景新洋房,74531.0,69.77,简装,520.0
长城盛世家园一期,82073.0,46.91,精装,385.0
蓝天绿都家园,59981.0,31.51,精装,189.0
皇庭世纪,87479.0,58.3,精装,510.0
合正名园,86747.0,35.16,精装,305.0
佳兆业中心,41375.0,39.88,简装,165.0
合正佳园,86737.0,83.01,精装,720.0
TT国际公寓,85366.0,41.0,简装,350.0
彩虹新都,40977.0,120.8,简装,495.0
景城府,102642.0,73.07,简装,750.01
水木澜山居,82765.0,76.12,精装,630.01
新阁小区,43100.0,38.98,简装,168.0
金燕园,62894.0,68.37,简装,430.01
花好园,82787.0,61.0,简装,505.0
擎天华庭,79523.0,70.42,其他,560.0
深荣大厦,47642.0,106.0,简装,505.01
锦文阁大厦,55124.0,44.99,简装,248.0
皇庭居,68952.0,47.86,精装,330.0
振业梅苑,59599.0,63.76,精装,380.0
银麓公寓,66667.0,42.0,其他,280.0
飞扬时代大厦,61745.0,77.74,简装,480.01
碧华庭居,66303.0,85.97,精装,570.01
皇御苑一期,63577.0,75.5,精装,480.01
花好园,92712.0,38.83,精装,360.0
雕塑家园,53376.0,72.13,精装,385.0
万科金域蓝湾二期,86433.0,76.36,精装,660.0
汇龙花园,62868.0,49.31,简装,310.0
八卦岭宿舍,103859.0,34.47,简装,358.0
城市绿洲花园,79937.0,69.43,精装,555.0
南方国际广场,105677.0,33.12,毛坯,350.0
御河堤,59091.0,33.0,精装,195.0
金中环国际商务大厦,55324.0,103.03,精装,570.0
广银大厦,59690.0,75.39,精装,450.0
都市花园,83969.0,77.41,其他,650.0
深荣大厦,47666.0,50.98,简装,243.0
鹏盛村,75219.0,38.82,简装,292.0
帝港海湾豪园,70714.0,64.91,精装,459.0
皇都广场,65861.0,64.53,精装,425.0
国企大厦,32116.0,99.64,简装,320.0
城市杰座,72915.0,56.23,精装,410.0
擎天华庭,85581.0,57.84,精装,495.0
旭飞花园,99966.0,28.61,简装,286.0
嘉洲富苑,73808.0,79.26,简装,585.0
现代之窗,88614.0,67.71,简装,600.01
嘉葆润金座,94805.0,26.37,简装,250.0
城中雅苑,90660.0,83.83,精装,760.0
福华阁,55627.0,78.2,简装,435.0
长城盛世家园二期,89693.0,72.47,精装,650.01
彩天怡色,85150.0,88.08,简装,750.0
新亚洲国利大厦,66707.0,66.71,简装,445.0
旭飞花园,87907.0,37.54,简装,330.0
高发城驰苑,82594.0,48.43,精装,400.0
皇御苑一期,63533.0,78.7,简装,500.0
皇御苑四期,76410.0,59.94,精装,458.0
金茂礼都,164555.0,60.77,简装,1000.0
澳新亚大厦,48650.0,41.11,精装,200.0
皇御苑二期,71678.0,86.22,精装,618.01
益田村公交宿舍,60404.0,92.71,简装,560.01
金色假日,86849.0,40.3,精装,350.0
第壹世界广场,60698.0,89.79,简装,545.01
景发花园,73780.0,79.29,精装,585.0
先科花园,59494.0,79.0,简装,470.0
擎天华庭,82363.0,70.42,简装,580.0
桐林公寓,78572.0,63.0,精装,495.0
园中花园,89720.0,107.0,简装,960.0
桐林公寓,90000.0,32.0,精装,288.0
自由港湾公寓,73361.0,26.99,精装,198.0
水畔紫云阁,73697.0,52.92,简装,390.0
旭飞华安园,63086.0,52.31,简装,330.0
七街公馆,65091.0,46.09,其他,300.0
趣园,67063.0,52.19,精装,350.0
港丽豪园,85985.0,97.11,精装,835.0
金地海景花园,66667.0,33.0,精装,220.0
雨田村,71079.0,81.6,简装,580.0
祥云天都世纪大厦,65640.0,57.13,精装,375.0
碧华庭居,71396.0,86.84,精装,620.0
长城盛世家园一期,74343.0,50.98,其他,379.0
彩福大厦,63266.0,49.0,简装,310.0
桐林公寓,77582.0,18.69,简装,145.0
皇庭世纪,84085.0,41.03,简装,345.0
桑达小区,157864.0,33.89,简装,535.0
绿景虹湾,96997.0,63.92,精装,620.0
景鹏大厦,62132.0,96.57,简装,600.01
嘉洲华苑,65457.0,67.22,简装,440.0
皇御苑三期,78283.0,79.2,简装,620.0
东方时代广场,77571.0,45.12,简装,350.0
鹏益花园,73353.0,37.49,精装,275.0
绿洲丰和,96973.0,42.28,精装,410.0
茂恒园,75557.0,93.97,精装,710.01
世纪汇都会轩,64169.0,87.27,其他,560.0
南华花园,68843.0,78.44,简装,540.0
景新花园,70549.0,77.96,精装,550.0
皇御苑四期,78511.0,59.61,简装,468.0
东方时代广场,76671.0,27.39,简装,210.0
华强花园,84454.0,89.99,简装,760.0
艺丰花园A区,60682.0,76.63,其他,465.01
皇庭世纪,90611.0,57.94,精装,525.0
丽阳天下,106077.0,65.99,简装,700.0
TT国际公寓,94016.0,55.31,简装,520.0
皇庭彩园,71827.0,68.22,精装,490.0
华发大院,68885.0,59.52,简装,410.0
绿景虹湾,85858.0,64.06,精装,550.01
赛格绿茵阁,67521.0,71.83,精装,485.0
韵动家园,66125.0,39.32,精装,260.0
金色假日,75931.0,40.3,其他,306.0
江南名苑,76425.0,77.2,简装,590.0
城市主场,81638.0,44.71,其他,365.0
绿洲丰和,97880.0,42.91,简装,420.0
宝瑞轩,81136.0,88.74,其他,720.0
加福广场华尔登府邸,69990.0,46.15,其他,323.0
五洲星苑,77246.0,69.26,简装,535.01
华新村,83490.0,80.25,精装,670.01
皇御苑二期,70709.0,113.14,精装,800.0
金茂礼都,195531.0,35.8,其他,700.0
漾福居,66930.0,35.56,其他,238.0
紫光名苑,64936.0,49.28,简装,320.0
华茂苑,70663.0,76.42,其他,540.01
深华公寓,46653.0,42.87,其他,200.0
越海家园,62755.0,29.48,其他,185.0
趣园,66769.0,52.42,简装,350.0
旭飞花园,93869.0,26.42,精装,248.0
宏轩大厦,96701.0,43.95,简装,425.0
华府馨居,81720.0,33.04,其他,270.0
皇庭彩园,73672.0,67.19,精装,495.0
新阁小区,43613.0,38.98,精装,170.0
旭飞花园,93339.0,27.32,简装,255.0
金地名津,71406.0,63.02,精装,450.0
海悦华城,66071.0,77.19,精装,510.0
金怡华庭,83726.0,57.33,精装,480.0
南光捷佳大厦,55666.0,80.84,其他,450.0
绿洲丰和,106627.0,65.65,精装,700.01
皇庭世纪,86297.0,57.94,其他,500.0
韵动家园,76830.0,41.0,精装,315.0
长城盛世家园二期,79366.0,75.6,简装,600.01
颐林雅院,63425.0,75.68,简装,480.0
自由港湾公寓,68055.0,39.38,简装,268.0
皇舟苑,60391.0,56.3,其他,340.0
福华阁,57545.0,78.2,其他,450.0
瑞和园,81067.0,76.48,简装,620.0
星河世纪,97145.0,33.97,其他,330.0
阁林网苑,129510.0,54.05,其他,700.0
澳新亚大厦,45121.0,92.64,其他,418.0
香丽大厦,67207.0,108.62,简装,730.0
绿景虹湾,93349.0,51.42,简装,480.0
皇庭居,68605.0,47.81,其他,328.0
碧华庭居,63976.0,85.97,其他,550.0
星河世纪,90649.0,41.92,其他,380.0
桐林公寓,73862.0,24.37,其他,180.0
艺丰花园B区,60116.0,72.86,其他,438.01
鹏盛村,75412.0,43.76,其他,330.0
玮鹏花园,130120.0,46.88,其他,610.0
福丰楼,59193.0,71.8,简装,425.01
翠馨居花园,92781.0,30.61,简装,284.0
皇御苑三期,79803.0,68.92,其他,550.0
群星广场,119610.0,63.54,其他,760.0
蜜园,76616.0,60.04,精装,460.0
皇达东方雅苑,82841.0,67.6,简装,560.01
益田村,85124.0,60.5,精装,515.0
新阁小区,51793.0,50.2,其他,260.0
汇港名苑,57863.0,77.77,其他,450.0
半山御景,86447.0,68.25,精装,590.0
鹏盛村,73063.0,31.48,其他,230.0
皇御苑一期,76137.0,42.03,精装,320.0
碧华庭居,64487.0,86.84,精装,560.01
财富广场,79112.0,78.37,其他,620.0
蓝宝石家园,72219.0,67.85,其他,490.01
皇庭世纪,86971.0,63.24,简装,550.0
皇洲花园,56862.0,79.14,简装,450.01
丽阳天下,113654.0,65.99,精装,750.0
水木澜山居,75502.0,88.74,其他,670.0
雕塑家园,55456.0,72.13,其他,400.0
新天CBC,53377.0,80.56,其他,430.01
众孚花园,71497.0,74.13,简装,530.01
金怡华庭,71589.0,76.13,简装,545.01
天一名居,85228.0,38.72,其他,330.0
嘉意台,69390.0,75.66,精装,525.0
嘉鑫阳光雅居,90713.0,69.45,精装,630.0
缇香名苑,98685.0,45.6,其他,450.0
元盛兴苑,64709.0,77.27,精装,500.01
福保桂花苑,79770.0,62.43,精装,498.0
皇御苑二期,73425.0,70.14,精装,515.0
桐林公寓,76864.0,39.03,其他,300.0
艺丰花园A区,61410.0,56.18,精装,345.0
景雅居,77636.0,66.98,其他,520.01
香珠花园,138203.0,53.4,简装,738.0
碧云天,67101.0,47.69,精装,320.0
漾福居,71123.0,70.02,其他,498.0
金中环国际商务大厦,49762.0,50.24,其他,250.0
绿景虹湾,92663.0,52.88,其他,490.0
核电花园,153378.0,82.15,其他,1260.0
花里林居,85668.0,91.05,精装,780.01
新天CBC,59892.0,158.62,简装,950.01
益田村,79475.0,144.7,简装,1150.0
万泽云顶香蜜湖,97747.0,173.92,精装,1700.02
绿景中城天邑花园,100379.0,137.48,精装,1380.01
飞扬时代大厦,55313.0,77.74,精装,430.0
长城盛世家园一期,74862.0,47.02,简装,352.0
中港城,80990.0,271.64,精装,2200.01
君临天下,67982.0,282.43,毛坯,1920.02
碧海云天二期,109657.0,155.03,精装,1700.01
君临天下,97976.0,91.86,精装,900.01
梅兴苑,54298.0,119.71,简装,650.0
新阁小区,43613.0,38.98,简装,170.0
福侨大厦,57169.0,87.46,简装,500.0
碧荔花园,54344.0,138.01,简装,750.0
里奥de花园,89499.0,150.84,精装,1350.0
景新花园,67627.0,79.85,简装,540.0
蝴蝶谷名苑,155463.0,212.27,精装,3300.01
港丽豪园,77260.0,98.37,精装,760.01
翰岭院,82919.0,162.81,精装,1350.0
皇御苑二期,69590.0,172.44,精装,1200.01
五洲星苑,76924.0,62.4,精装,480.01
国都高尔夫花园二期,59305.0,160.19,精装,950.01
景苑大厦,57965.0,89.71,精装,520.0
京隆苑,77568.0,307.86,精装,2388.01
锦文阁大厦,57961.0,71.6,简装,415.0
碧荔花园,52285.0,248.45,精装,1299.02
众孚大厦,64871.0,100.2,简装,650.01
京隆苑,76272.0,236.0,简装,1800.02
云顶翠峰,81600.0,171.57,精装,1400.01
物业时代新居,89140.0,244.56,精装,2180.01
京基御景华城,63889.0,36.0,其他,230.0
紫光名苑,66389.0,107.85,精装,716.01
宝生Midtown,111355.0,82.17,精装,915.0
金海湾花园,74964.0,117.39,精装,880.0
长乐花园,89172.0,157.0,简装,1400.0
万科金域蓝湾三期,81803.0,158.92,精装,1300.01
奥士达大厦,56124.0,70.38,简装,395.0
碧海云天一期,121553.0,275.6,精装,3350.0
碧海红树园,78547.0,122.22,简装,960.0
擎天华庭,68477.0,169.4,其他,1160.0
黄埔雅苑二期,88657.0,82.34,简装,730.0
好景豪园,65568.0,136.5,其他,895.0
银麓公寓,49716.0,28.16,简装,140.0
皇御苑二期,65666.0,113.91,精装,748.0
艺丰花园C区,54493.0,98.73,简装,538.01
景田南小区,66878.0,82.24,简装,550.0
城中雅苑,97424.0,141.65,精装,1380.01
馨庭苑,82486.0,181.85,其他,1500.01
桐林公寓,85608.0,18.69,简装,160.0
祥云天都世纪大厦,60368.0,48.37,精装,292.0
阳光天下花园,93750.0,176.0,精装,1650.0
星海名城二期七组团,74408.0,115.58,简装,860.01
东方新地,74361.0,41.42,精装,308.0
南园枫叶国际广场,62943.0,40.99,精装,258.0
美丽湾国际公寓,87243.0,45.62,精装,398.0
中信红树湾北区,103666.0,54.02,其他,560.0
海王大厦,39604.0,121.2,简装,480.0
栖游家园,95790.0,84.56,精装,810.0
天鹅堡,79283.0,220.73,精装,1750.01
漾日湾畔,114361.0,183.63,精装,2100.01
中信红树湾北区,82065.0,152.32,精装,1250.01
海月花园三期,87531.0,209.07,简装,1830.01
育德佳园,90571.0,75.08,简装,680.01
首地容御,78359.0,150.59,简装,1180.01
深航飞行员公寓,64080.0,112.36,其他,720.0
英伦名苑二期,101719.0,145.5,精装,1480.01
松坪水居,75052.0,87.94,毛坯,660.01
南海玫瑰花园三期,110491.0,85.98,精装,950.0
半岛城邦花园一期,124692.0,137.94,精装,1720.0
香山里,77778.0,162.0,精装,1260.0
蓝漪花园,76526.0,137.21,精装,1050.01
蔚蓝海岸2期,106661.0,126.57,精装,1350.01
四海宜家,86047.0,102.27,简装,880.0
南海玫瑰花园二期,128800.0,97.05,简装,1250.0
佳兆业香瑞园,93035.0,83.84,精装,780.01
半岛城邦花园一期,132935.0,120.36,精装,1600.01
塘朗雅苑,85798.0,86.25,简装,740.01
前海凯御,71969.0,55.58,精装,400.0
阳光里雅居,97206.0,82.3,精装,800.01
荔海春城,80530.0,152.74,精装,1230.02
海岸时代公寓,43405.0,82.94,精装,360.0
波托菲诺纯水岸一期,89125.0,177.28,精装,1580.01
南海玫瑰花园二期,125688.0,127.3,精装,1600.01
西海湾花园,88444.0,102.89,简装,910.0
荔园大厦,54091.0,97.06,精装,525.01
十五峯花园,73824.0,174.74,精装,1290.0
太古城南,160421.0,70.44,精装,1130.01
俊峰丽舍,71035.0,87.0,简装,618.0
佳兆业前海广场一期,97176.0,77.18,精装,750.0
香榭峰景苑,76014.0,76.96,简装,585.0
半岛城邦花园一期,119205.0,121.64,精装,1450.01
南海玫瑰花园二期,117990.0,127.13,精装,1500.01
京光海景花园,60005.0,135.99,精装,816.01
雅仕荔景苑,84884.0,86.0,简装,730.0
龙城新苑,66110.0,75.33,精装,498.01
桃源村一期,68191.0,74.79,精装,510.0
海王大厦,38614.0,121.2,精装,468.0
世纪假日广场,70526.0,89.33,精装,630.01
科技园三十七区,74453.0,201.47,简装,1500.0
文竹园,87180.0,58.5,简装,510.0
四海公寓,81955.0,67.11,简装,550.0
南头中学教师楼,49352.0,103.34,简装,510.0
半岛城邦花园一期,129755.0,146.43,精装,1900.0
泰福苑,84276.0,87.57,精装,738.0
招商桃花园,91856.0,97.98,精装,900.01
太古城南,151418.0,61.75,精装,935.01
锦绣花园一期,71523.0,114.65,精装,820.01
香山里,86217.0,171.66,精装,1480.0
海境界家园一期,116500.0,73.82,精装,860.0
雅仕荔景苑,123648.0,38.82,简装,480.0
海洋星苑,89432.0,79.39,精装,710.0
美庐锦园,84241.0,85.47,精装,720.01
星海名城三期,86085.0,98.74,精装,850.0
香格名苑,90552.0,83.93,精装,760.0
世界花园,53425.0,146.0,精装,780.0
松坪村菊苑,77689.0,64.36,简装,500.01
海境界家园一期,111487.0,74.0,精装,825.0
向南海德大厦,96585.0,83.45,精装,806.0
世界花园,65071.0,86.06,简装,560.0
博林天瑞,93857.0,175.8,精装,1650.01
学城绿园,60162.0,96.74,精装,582.01
福海苑,63173.0,91.02,简装,575.0
城市山林,113800.0,118.63,精装,1350.01
天源大厦,49660.0,120.42,精装,598.01
蓝漪花园,93362.0,100.47,精装,938.01
香山里,78867.0,159.51,精装,1258.01
前海丹华,85431.0,128.76,精装,1100.01
后海花园,54325.0,87.99,简装,478.01
汉京山,103013.0,57.76,简装,595.0
京光海景花园,53675.0,126.69,简装,680.01
时代骄子大厦,65858.0,79.87,精装,526.01
国兴苑,64568.0,75.89,精装,490.01
城市假日花园,71261.0,76.48,简装,545.0
丰泽园,62581.0,100.67,精装,630.0
后海花园,67746.0,83.4,简装,565.0
南光城市花园,78543.0,65.57,精装,515.01
南海玫瑰花园三期,110855.0,86.6,精装,960.0
中兴公寓,59037.0,83.0,简装,490.01
中信红树湾北区,110084.0,90.84,精装,1000.0
英达钰龙园,76332.0,89.74,精装,685.0
诺德假日花园,118587.0,80.11,简装,950.0
龙佳园,55006.0,36.36,精装,200.0
东方美地苑,72382.0,70.46,简装,510.0
太古城南,148388.0,62.0,精装,920.01
半岛城邦花园一期,120666.0,164.09,精装,1980.01
栖游家园,95749.0,27.99,精装,268.0
港湾生活小区,59277.0,118.09,简装,700.0
学子荔园,55019.0,119.96,精装,660.01
太古城南,159662.0,59.0,精装,942.01
海洋星苑,80666.0,121.49,精装,980.01
云海天城,69248.0,112.64,精装,780.01
蔚蓝海岸2期,94074.0,138.19,精装,1300.01
皇庭港湾,115820.0,177.0,精装,2050.01
半岛城邦花园一期,136240.0,135.79,精装,1850.0
香格名苑,79288.0,174.05,精装,1380.01
深南花园,57235.0,118.81,简装,680.01
源华综合楼,68494.0,81.76,简装,560.01
创世纪滨海花园,81469.0,101.88,精装,830.01
欧陆经典,73770.0,75.37,简装,556.0
半岛花园B区,73857.0,96.81,简装,715.01
西湖林语,80807.0,79.82,简装,645.0
四海公寓,81675.0,86.93,简装,710.0
桃源村三期,69167.0,92.53,精装,640.0
海月花园三期,107862.0,125.16,精装,1350.0
招北小区,92208.0,77.0,简装,710.0
港湾生活小区,60962.0,89.4,简装,545.0
鸿瑞花园,90294.0,110.75,精装,1000.01
首地容御,79687.0,150.59,其他,1200.01
招东小区,71172.0,111.0,简装,790.01
荟芳园,59811.0,120.38,精装,720.0
工贸佳园,59621.0,92.25,简装,550.0
桂园,71943.0,91.74,精装,660.01
海印长城,103792.0,114.46,精装,1188.0
厚德品园,113205.0,110.42,精装,1250.01
栖游家园,95069.0,84.15,精装,800.01
海境界家园一期,115039.0,119.96,精装,1380.01
三湘海尚花园,147429.0,175.0,精装,2580.01
信和自由广场,85345.0,98.19,精装,838.0
宝能城,120809.0,88.57,精装,1070.01
博林天瑞,104796.0,112.6,精装,1180.0
名家富居,114479.0,121.42,精装,1390.0
大冲城市花园,132000.0,125.0,精装,1650.0
海尚国际,67620.0,105.0,简装,710.01
西湖林语,81230.0,80.02,简装,650.0
金田花园,64301.0,77.76,简装,500.0
蔚蓝海岸2期,97509.0,138.45,精装,1350.01
英伦名苑三期,121742.0,75.57,精装,920.0
鸿瑞花园,88312.0,81.53,精装,720.01
佳兆业前海广场一期,101395.0,86.79,精装,880.01
深华园南山区,69507.0,33.81,精装,235.0
德意名居一期,77121.0,35.01,简装,270.0
星海名城一期一组团,70398.0,105.97,简装,746.01
星海名城二期七组团,73905.0,113.39,精装,838.01
百仕达红树西岸,135201.0,144.23,精装,1950.0
福临苑,81498.0,96.69,简装,788.0
鸿瑞花园,84645.0,58.48,精装,495.0
大陆庄园,49270.0,119.75,精装,590.01
前海东岸,92502.0,131.89,精装,1220.01
南海城中心,60435.0,130.72,简装,790.01
金海岸大厦,99010.0,36.36,简装,360.0
桃苑公寓,50450.0,57.88,简装,292.0
半岛城邦花园二期,86270.0,178.51,精装,1540.01
中信红树湾北区,94745.0,55.94,精装,530.0
振兴小区,67074.0,82.0,精装,550.01
阳光棕榈园一期,73438.0,111.66,精装,820.01
四海公寓,99284.0,61.44,简装,610.0
栖游家园,92464.0,57.32,精装,530.0
万科云城,68898.0,50.8,精装,350.0
百富大厦南山区,88591.0,37.25,精装,330.0
美庐锦园,86258.0,84.63,精装,730.0
朗景园,102944.0,68.97,精装,710.0
仓前锦福苑,77135.0,47.32,精装,365.0
梅州大厦,41997.0,63.1,简装,265.0
常兴苑,50383.0,57.56,简装,290.0
前海明珠,83082.0,39.72,简装,330.0
德意名居一期,72602.0,31.68,简装,230.0
东方银座公馆,77221.0,51.8,精装,400.0
东方银座公馆,72307.0,55.32,精装,400.0
恒立心海湾花园,90323.0,139.5,简装,1260.01
花园城五期,113637.0,88.0,精装,1000.01
博林天瑞,91191.0,129.4,精装,1180.01
时代骄子大厦,61241.0,87.36,简装,535.0
凯丽花园,83023.0,96.36,简装,800.01
泛海拉菲花园,93122.0,76.03,简装,708.01
福海苑,66413.0,70.77,精装,470.0
英达钰龙园,78110.0,51.21,精装,400.0
星海名城六期,73535.0,149.59,精装,1100.01
中熙君南山,124759.0,88.17,精装,1100.0
松坪村东区三期,87972.0,59.11,精装,520.0
前海花园,74636.0,90.44,简装,675.01
方鼎华庭,77380.0,92.79,精装,718.01
栖游家园,81782.0,57.47,精装,470.0
缤纷假日豪园,77035.0,96.71,精装,745.01
新一代国际公寓,79983.0,45.01,精装,360.0
彩虹居,63214.0,94.6,精装,598.0
铭筑,133788.0,82.22,精装,1100.0
嘉庭苑,99457.0,86.47,简装,860.0
麒麟花园A区,100696.0,109.24,精装,1100.0
星海名城三期,75356.0,107.49,简装,810.0
诺德假日花园,103086.0,145.51,精装,1500.0
好来居,88251.0,39.66,精装,350.0
学城绿园,54940.0,97.38,精装,535.01
南新苑,64671.0,112.88,精装,730.01
荔林春晓,103130.0,111.51,简装,1150.0
星海名城三期,80306.0,116.43,精装,935.0
官龙名苑,65304.0,81.16,简装,530.01
乐群楼,68249.0,47.62,简装,325.0
星海名城五期,79484.0,80.52,精装,640.01
华联花园,81007.0,61.6,精装,499.0
鼎太风华六期,119263.0,72.11,精装,860.01
俊峰丽舍,64210.0,107.46,精装,690.0
学府花园,78518.0,77.69,精装,610.01
美庐锦园,85077.0,84.63,精装,720.01
松坪村东区三期,89437.0,59.26,精装,530.0
碧涛苑,79943.0,69.8,精装,558.0
西丽湖度假村,55808.0,86.01,简装,480.0
阳光棕榈园三期,88758.0,118.3,其他,1050.01
阳光海景豪苑,84389.0,78.21,精装,660.01
麒麟花园A区,108999.0,78.9,精装,860.0
皇庭香格里花园,75037.0,74.63,精装,560.0
山海津,79104.0,75.85,精装,600.0
鼎太风华四期,105390.0,116.71,精装,1230.01
海岸明珠园,100372.0,75.32,精装,756.0
松坪村西区三期,100000.0,50.0,精装,500.0
鼎太风华一期,128762.0,73.78,精装,950.01
阳光海景豪苑,99093.0,78.21,精装,775.01
荔园大厦,56666.0,97.06,精装,550.0
塘朗雅苑,94527.0,49.51,精装,468.0
泛海拉菲花园二期,93284.0,144.72,精装,1350.01
中信红树湾北区,95978.0,48.97,精装,470.0
漾日湾畔,127164.0,141.55,精装,1800.01
星海名城一期三组团,73267.0,120.11,精装,880.01
学府花园,81613.0,81.85,精装,668.0
前海明珠,68236.0,85.0,精装,580.01
铭筑,137253.0,87.43,简装,1200.0
凯丽花园,104584.0,44.94,简装,470.0
海境界家园一期,129301.0,88.94,精装,1150.0
云栖西岸,93204.0,77.25,其他,720.0
深南花园,87291.0,85.92,精装,750.0
龙泰轩,75676.0,74.0,精装,560.0
紫竹园,76364.0,55.0,简装,420.0
俊峰丽舍,69768.0,77.4,简装,540.0
山海津,82833.0,74.85,简装,620.01
创世纪滨海花园,101109.0,51.43,精装,520.0
松坪村西区三期,97860.0,49.05,精装,480.0
香榭峰景苑,80883.0,68.0,简装,550.0
招商名仕花园,82738.0,106.36,简装,880.0
东方美地苑,74526.0,72.19,精装,538.0
中熙君南山,110205.0,89.47,精装,986.0
润城花园,79223.0,83.31,其他,660.01
前海康城华府,100034.0,89.97,精装,900.01
后海名苑居北区,85602.0,58.41,精装,500.0
松坪村西区三期,97960.0,49.0,精装,480.0
好来居,100896.0,33.5,精装,338.0
诺德假日花园,117303.0,78.43,精装,920.01
皇庭香格里花园,74970.0,74.03,简装,555.0
松坪村西区三期,95847.0,50.08,其他,480.0
万科云城,71281.0,67.34,其他,480.01
国际市长交流中心,52743.0,37.92,简装,200.0
华府苑,67504.0,31.85,简装,215.0
德意名居一期,71518.0,32.16,精装,230.0
中信红树湾北区,88033.0,88.49,精装,779.0
星海名城二期七组团,67338.0,126.23,精装,850.01
友邻公寓,100365.0,54.8,简装,550.0
天朗风清,83808.0,66.82,简装,560.01
山海翠庐,95053.0,128.35,精装,1220.01
大冲城市花园,143514.0,174.2,毛坯,2500.01
如意家园,68676.0,109.21,精装,750.01
山语海,87833.0,108.16,毛坯,950.0
南光城市花园,64981.0,86.18,简装,560.01
南山豪庭,69736.0,81.02,精装,565.0
深圳湾1号,169518.0,324.45,精装,5500.01
鼎太风华四期,96287.0,145.4,简装,1400.01
半山海景兰溪谷国际公寓,90800.0,82.6,简装,750.01
西海明珠花园,107325.0,37.27,精装,400.0
星海名城五期,75832.0,81.76,精装,620.0
星海名城五期,81618.0,79.64,精装,650.01
陶然居,54234.0,28.58,精装,155.0
仓前锦福苑,50737.0,120.23,精装,610.01
恒立心海湾花园,99227.0,59.46,精装,590.0
新一代国际公寓,84354.0,36.75,精装,310.0
南头花园中南苑,63262.0,63.23,简装,400.01
桃苑公寓,52568.0,57.45,简装,302.0
鼎太风华六期,104822.0,57.24,精装,600.0
英达钰龙园,77095.0,67.45,简装,520.01
大陆庄园,69529.0,57.53,简装,400.0
沙河观景阁,76704.0,45.63,精装,350.0
阳光棕榈园三期,81483.0,76.09,精装,620.0
四季丽晶,107150.0,54.13,精装,580.0
学府花园,77231.0,77.69,精装,600.01
诺德假日花园,109171.0,73.28,精装,800.01
鼎太风华六期,108819.0,53.3,简装,580.01
山海津,77660.0,77.26,精装,600.0
南头花园中南苑,64896.0,66.26,精装,430.0
鼎太风华六期,104272.0,77.49,精装,808.0
中海阳光玫瑰园,112565.0,50.46,精装,568.0
瑞景华庭,90760.0,30.3,简装,275.0
金海岸大厦,113604.0,20.95,精装,238.0
英达钰龙园,91122.0,42.8,其他,390.0
星海名城一期四组团,86809.0,70.27,精装,610.01
花果山小区,105715.0,35.0,简装,370.0
星海名城一期六组团,84491.0,69.83,精装,590.0
佳兆业前海广场一期,101128.0,77.13,其他,780.0
德意名居一期,74317.0,33.64,简装,250.0
友邻公寓,121202.0,27.64,精装,335.0
阳光棕榈园一期,80384.0,77.13,精装,620.0
阳光花地苑,103696.0,37.61,精装,390.0
蔚蓝海岸2期,100137.0,109.65,精装,1098.0
新保辉大厦,35187.0,56.84,简装,200.0
天骄华庭,109372.0,146.29,精装,1600.0
四海公寓,86971.0,60.94,简装,530.0
榆园小区,71429.0,91.7,精装,655.0
万象新园,54859.0,216.92,精装,1190.0
东方银座公馆,100739.0,59.56,精装,600.0
海月花园三期,90928.0,151.77,简装,1380.01
半岛城邦花园一期,137363.0,120.12,精装,1650.0
后海理想雅园,162484.0,89.24,精装,1450.01
信和自由广场,91298.0,42.17,精装,385.0
东方美地苑,80322.0,34.86,简装,280.0
半山海景兰溪谷国际公寓,98867.0,82.94,精装,820.0
仓前锦福苑,58407.0,119.85,精装,700.01
星海名城六期,84243.0,136.51,精装,1150.0
前海东岸,99620.0,76.29,精装,760.0
泛海拉菲花园,99485.0,83.43,精装,830.0
